Horizon,SampleSize,lb,ub,ub_l,ub_r
5,1,2531.12,,,
5,1,2536.64,,,
5,1,2537.48,,,
5,1,2538.79,,,
5,1,2540.93,,,
5,1,2542,,,
5,1,2543.53,,,
5,1,2548.04,,,
5,1,2550.67,,,
5,1,2553.6,,,
5,1,2565.88,,,
5,1,2566.97,,,
5,1,2567.51,,,
5,1,2568.55,,,
5,1,2569.16,,,
5,1,2572.27,,,
5,1,2573.98,,,
5,1,2574.7,,,
5,1,2576.75,,,
5,1,2577.5,,,
5,1,2577.61,,,
5,1,2584.49,,,
5,1,2584.96,,,
5,1,2585.26,,,
5,1,2586.75,,,
5,1,2587.6,,,
5,1,2587.7,,,
5,1,2588.06,,,
5,1,2594.58,,,
5,1,2595.65,,,
5,1,2596.1,,,
5,1,2597.98,,,
5,1,2597.99,,,
5,1,2598.58,,,
5,1,2602.48,,,
5,1,2603.35,,,
5,1,2604.16,,,
5,1,2604.16,,,
5,1,2604.16,,,
5,1,2604.16,,,
5,1,2604.16,,,
5,1,2604.16,,,
